Model,Accuracy,Balanced Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),Sensitivity,F1 Score (Macro),F1 Score (Weighted),ROC-AUC (OvR),PR-AUC,Matthews Correlation Coefficient,Cohen's Kappa,False Positive Rate,False Negative Rate,Specificity,Prediction Time (s)
random_forest,0.9975499184297276,0.9337838489233523,0.8657329777933861,0.9985623958543611,0.9337838489233523,0.9975499184297276,0.9337838489233523,0.8792736984024273,0.99797621067589,0.9993868002837522,0.925807166396743,0.9919116475321264,0.991890476466027,0.00019121362067276443,0.06621615107664756,0.9998087863793272,0.2565182999969693
extra_trees,0.9987035976157297,0.913135979961648,0.9035848232433489,0.9987945330769185,0.913135979961648,0.9987035976157297,0.913135979961648,0.9005254641585485,0.9987334925014937,0.9994424541539043,0.9369724416698755,0.9956969791162749,0.9956944588904855,0.00012981290743474942,0.08686402003835204,0.9998701870925653,0.8970642999993288
xgboost,0.9943683804683303,0.9352139881977256,0.7151624453793789,0.99680921873385,0.9352139881977256,0.9943683804683303,0.9352139881977256,0.7566325908006857,0.9953496857299162,0.9998843530387652,0.8984106225136377,0.9816591524395509,0.9815174480714675,0.0003917118512040633,0.06478601180227446,0.999608288148796,0.9436523000040324
lightgbm,0.9977124642944221,0.9536739325817892,0.7931456807890896,0.9983303134625132,0.9536739325817892,0.9977124642944221,0.9536739325817892,0.8196352125931196,0.9979215007389226,0.9999113451684017,0.9332496767370801,0.992443495891903,0.9924258419312187,0.00016202607173475066,0.04632606741821077,0.9998379739282653,3.0499393999998574
catboost,0.9841081683261542,0.9305614546440066,0.6155596881972512,0.9948260970165738,0.9305614546440066,0.9841081683261542,0.9305614546440066,0.6582477824659136,0.9888746304241286,0.9995031474001258,0.8644593657445359,0.9504022894585659,0.949213849810943,0.0010824367941070759,0.06943854535599338,0.998917563205893,0.29486679999536136
