Model,Class,precision,recall,f1-score,support
random_forest,BENIGN,0.9999043846795572,0.997629365342466,0.9987655794852204,419297.0
random_forest,Bot,0.6985559566787004,0.989769820971867,0.819047619047619,391.0
random_forest,DDoS,0.9992972867460472,0.9997656524626021,0.9995314147370066,25603.0
random_forest,DoS GoldenEye,0.9951409135082604,0.9956246961594555,0.9953827460510328,2057.0
random_forest,DoS Hulk,0.9977187409760323,0.9994503905120047,0.9985838150289017,34570.0
random_forest,DoS Slowhttptest,0.9839167455061495,0.994263862332696,0.9890632429862102,1046.0
random_forest,DoS Slowloris,0.9953531598513011,0.9944289693593314,0.9948908499767766,1077.0
random_forest,FTP-Patator,0.9991575400168492,0.9991575400168492,0.9991575400168492,1187.0
random_forest,Heartbleed,1.0,1.0,1.0,2.0
random_forest,Infiltration,1.0,0.7142857142857143,0.8333333333333334,7.0
random_forest,PortScan,0.9900698384984723,0.9990090288482713,0.9945193467061274,18164.0
random_forest,SSH-Patator,1.0,0.9968944099378882,0.9984447900466563,644.0
random_forest,Web Attack – Brute Force,0.5016949152542373,0.5034013605442177,0.5025466893039049,294.0
random_forest,Web Attack – SQL Injection,0.6666666666666666,1.0,0.8,4.0
random_forest,Web Attack – XSS,0.15851851851851853,0.823076923076923,0.26583850931677017,130.0
random_forest,accuracy,0.9975499184297276,0.9975499184297276,0.9975499184297276,0.9975499184297276
random_forest,macro avg,0.8657329777933861,0.9337838489233523,0.8792736984024273,504473.0
random_forest,weighted avg,0.9985623958543611,0.9975499184297276,0.99797621067589,504473.0
extra_trees,BENIGN,0.9998472426097645,0.999055562047904,0.9994512455532996,419297.0
extra_trees,Bot,0.733739837398374,0.9232736572890026,0.8176670441676104,391.0
extra_trees,DDoS,0.9995704131844099,0.9996875366168028,0.9996289714698589,25603.0
extra_trees,DoS GoldenEye,0.995147986414362,0.9970831307729704,0.9961146187469645,2057.0
extra_trees,DoS Hulk,0.9978053076900864,0.99950824414232,0.9986560499429182,34570.0
extra_trees,DoS Slowhttptest,0.9876308277830638,0.9923518164435946,0.9899856938483548,1046.0
extra_trees,DoS Slowloris,0.9972093023255814,0.9953574744661096,0.9962825278810409,1077.0
extra_trees,FTP-Patator,0.9991575400168492,0.9991575400168492,0.9991575400168492,1187.0
extra_trees,Heartbleed,1.0,1.0,1.0,2.0
extra_trees,Infiltration,1.0,0.5714285714285714,0.7272727272727273,7.0
extra_trees,PortScan,0.9900130975769482,0.9987337590839023,0.9943543082657312,18164.0
extra_trees,SSH-Patator,1.0,1.0,1.0,644.0
extra_trees,Web Attack – Brute Force,0.7698412698412699,0.6598639455782312,0.7106227106227107,294.0
extra_trees,Web Attack – SQL Injection,0.6666666666666666,1.0,0.8,4.0
extra_trees,Web Attack – XSS,0.41714285714285715,0.5615384615384615,0.4786885245901639,130.0
extra_trees,accuracy,0.9987035976157297,0.9987035976157297,0.9987035976157297,0.9987035976157297
extra_trees,macro avg,0.9035848232433489,0.913135979961648,0.9005254641585485,504473.0
extra_trees,weighted avg,0.9987945330769185,0.9987035976157297,0.9987334925014937,504473.0
xgboost,BENIGN,0.9999664057513353,0.9938635382556994,0.9969056319412465,419297.0
xgboost,Bot,0.2562254259501966,1.0,0.4079290558163798,391.0
xgboost,DDoS,0.9987899605761349,0.9994141311565051,0.9991019483815547,25603.0
xgboost,DoS GoldenEye,0.9549465861588481,0.9995138551288284,0.9767220902612826,2057.0
xgboost,DoS Hulk,0.9831111870585555,0.9985247324269598,0.9907580149823484,34570.0
xgboost,DoS Slowhttptest,0.9437896645512239,0.9952198852772467,0.968822708236389,1046.0
xgboost,DoS Slowloris,0.9763421292083713,0.9962859795728877,0.9862132352941176,1077.0
xgboost,FTP-Patator,0.975328947368421,0.9991575400168492,0.9870994590095714,1187.0
xgboost,Heartbleed,0.6666666666666666,1.0,0.8,2.0
xgboost,Infiltration,0.18421052631578946,1.0,0.3111111111111111,7.0
xgboost,PortScan,0.9895827652031634,0.9988989209425236,0.9942190196991698,18164.0
xgboost,SSH-Patator,0.8644295302013423,1.0,0.9272858171346292,644.0
xgboost,Web Attack – Brute Force,0.6594827586206896,0.5204081632653061,0.5817490494296578,294.0
xgboost,Web Attack – SQL Injection,0.018867924528301886,0.75,0.03680981595092025,4.0
xgboost,Web Attack – XSS,0.25569620253164554,0.7769230769230769,0.38476190476190475,130.0
xgboost,accuracy,0.9943683804683303,0.9943683804683303,0.9943683804683303,0.9943683804683303
xgboost,macro avg,0.7151624453793789,0.9352139881977256,0.7566325908006857,504473.0
xgboost,weighted avg,0.99680921873385,0.9943683804683303,0.9953496857299162,504473.0
lightgbm,BENIGN,0.9999737096203669,0.9978440103315788,0.9989077248326074,419297.0
lightgbm,Bot,0.5678832116788322,0.9948849104859335,0.7230483271375465,391.0
lightgbm,DDoS,0.998439815898276,0.9998047103855017,0.9991217969984973,25603.0
lightgbm,DoS GoldenEye,0.9580223880597015,0.9985415653864852,0.9778624137110212,2057.0
lightgbm,DoS Hulk,0.9968822170900693,0.9989007810240093,0.9978904782545874,34570.0
lightgbm,DoS Slowhttptest,0.967381174277726,0.9923518164435946,0.9797074091552619,1046.0
lightgbm,DoS Slowloris,0.9614349775784753,0.9953574744661096,0.9781021897810219,1077.0
lightgbm,FTP-Patator,0.9983164983164983,0.9991575400168492,0.9987368421052631,1187.0
lightgbm,Heartbleed,1.0,1.0,1.0,2.0
lightgbm,Infiltration,0.30434782608695654,1.0,0.4666666666666667,7.0
lightgbm,PortScan,0.9898009271884374,0.999119136754019,0.9944382037864051,18164.0
lightgbm,SSH-Patator,1.0,1.0,1.0,644.0
lightgbm,Web Attack – Brute Force,0.7553191489361702,0.48299319727891155,0.5892116182572614,294.0
lightgbm,Web Attack – SQL Injection,0.05128205128205128,1.0,0.0975609756097561,4.0
lightgbm,Web Attack – XSS,0.34810126582278483,0.8461538461538461,0.49327354260089684,130.0
lightgbm,accuracy,0.9977124642944221,0.9977124642944221,0.9977124642944221,0.9977124642944221
lightgbm,macro avg,0.7931456807890896,0.9536739325817892,0.8196352125931196,504473.0
lightgbm,weighted avg,0.9983303134625132,0.9977124642944221,0.9979215007389226,504473.0
catboost,BENIGN,0.9999465691310441,0.9819412015826491,0.9908620963510957,419297.0
catboost,Bot,0.08140745367478659,1.0,0.15055833654216402,391.0
catboost,DDoS,0.9961459103826839,0.9994141311565051,0.9977773445116007,25603.0
catboost,DoS GoldenEye,0.6496958053154018,0.986387943607195,0.7833976833976835,2057.0
catboost,DoS Hulk,0.983419570624053,0.995111368238357,0.9892309240701068,34570.0
catboost,DoS Slowhttptest,0.8603491271820449,0.9894837476099426,0.9204090706980881,1046.0
catboost,DoS Slowloris,0.9570661896243292,0.9935004642525533,0.9749430523917996,1077.0
catboost,FTP-Patator,0.9728841413311422,0.9974726200505476,0.9850249584026622,1187.0
catboost,Heartbleed,0.18181818181818182,1.0,0.3076923076923077,2.0
catboost,Infiltration,0.016722408026755852,0.7142857142857143,0.032679738562091505,7.0
catboost,PortScan,0.9871041462618348,0.9987337590839023,0.9928848995676208,18164.0
catboost,SSH-Patator,0.8274967574578469,0.9906832298136646,0.9017667844522969,644.0
catboost,Web Attack – Brute Force,0.47619047619047616,0.4421768707482993,0.4585537918871252,294.0
catboost,Web Attack – SQL Injection,0.010638297872340425,1.0,0.021052631578947368,4.0
catboost,Web Attack – XSS,0.23251028806584362,0.8692307692307693,0.36688311688311687,130.0
catboost,accuracy,0.9841081683261542,0.9841081683261542,0.9841081683261542,0.9841081683261542
catboost,macro avg,0.6155596881972512,0.9305614546440066,0.6582477824659136,504473.0
catboost,weighted avg,0.9948260970165738,0.9841081683261542,0.9888746304241286,504473.0
