Model,Feature,Raw_Importance,Normalized_Importance,Rank,Permutation_Importance_Mean,Permutation_Importance_Std,Permutation_Normalized,Permutation_Rank
extra_trees,Bwd Packet Length Max,0.17320984036788373,0.17320984036788373,1,0.2465269988765332,0.018192389505142445,0.18825623585769433,2
extra_trees,Flow IAT Std,0.12167759113773766,0.12167759113773766,2,0.07626868242674549,0.04237769705879499,0.05824130879342694,6
extra_trees,Destination Port,0.08956420188708147,0.08956420188708147,3,0.217677726099952,0.021430384153479327,0.16622596929500016,4
extra_trees,Init_Win_bytes_backward,0.08469452421283705,0.08469452421283705,4,-0.048330399915801237,0.007481920792187198,0.0,18
extra_trees,Fwd Packet Length Max,0.079873840381524,0.079873840381524,5,0.031077219367114405,0.007546955447999993,0.023731600861724926,8
extra_trees,Init_Win_bytes_forward,0.0654555914856862,0.0654555914856862,6,0.21832692899973605,0.025255166444748667,0.16672172227450427,3
extra_trees,min_seg_size_forward,0.06378100918266226,0.06378100918266226,7,0.16803189455409315,0.019398057384070726,0.12831475707305062,5
extra_trees,Fwd IAT Min,0.05040597880635504,0.05040597880635504,8,0.05378202818289972,0.005808922863821078,0.041069749879914304,7
extra_trees,PSH Flag Count,0.042430952119151835,0.042430952119151835,9,0.25824824177763084,0.026169712161846607,0.19720696773773266,1
extra_trees,act_data_pkt_fwd,0.033571703179765995,0.033571703179765995,10,-0.0705257662371469,0.0029870654644147615,0.0,20
extra_trees,Total Length of Fwd Packets,0.029479262835400283,0.029479262835400283,11,0.0040084573487754625,0.0013879085019333618,0.003060991678459171,12
extra_trees,Bwd Packets/s,0.025188158280693738,0.025188158280693738,12,-0.040569716561087946,0.012311866579908059,0.0,17
extra_trees,Idle Std,0.024465544008711832,0.024465544008711832,13,0.012095713922254081,0.00018752589975085994,0.009236690437121194,9
extra_trees,Bwd Header Length,0.023449340208993957,0.023449340208993957,14,-0.06273397197994098,0.006567723384716714,0.0,19
extra_trees,Fwd Header Length,0.020341328975897237,0.020341328975897237,15,0.00925303260103083,0.0038201614812865634,0.007065924201717971,11
extra_trees,Active Mean,0.01720673043566316,0.01720673043566316,16,0.00010246718104991447,0.0001366744218601451,7.824735583248111e-05,14
extra_trees,Active Max,0.017178350036092697,0.017178350036092697,17,0.002222219333331288,0.010892753110994259,0.0016969607744775311,13
extra_trees,FIN Flag Count,0.014949512369794289,0.014949512369794289,18,0.011907381839288123,0.00041085792784046596,0.00909287377934341,10
extra_trees,Flow Bytes/s,0.012980278913663929,0.012980278913663929,19,-0.0007948942870790842,0.016119808269195113,0.0,16
extra_trees,Active Std,0.010096261174403785,0.010096261174403785,20,0.0,0.0,0.0,15
random_forest,Destination Port,0.1412182426071124,0.1412182426071124,1,0.27689024281361524,0.028785751440105155,0.30271692158290187,1
random_forest,Init_Win_bytes_backward,0.11545261192286156,0.11545261192286156,2,0.025757605811998797,0.004011721654330054,0.02816012243523783,10
random_forest,Bwd Packet Length Max,0.11225170461602527,0.11225170461602527,3,0.09473317421928615,0.008368731732885553,0.10356932255912957,4
random_forest,Bwd Header Length,0.08780011906035672,0.08780011906035672,4,0.07112649842490326,0.04057773993745537,0.07776075612982597,5
random_forest,Total Length of Fwd Packets,0.07227739575831768,0.07227739575831768,5,0.036399596246344014,0.008893981159146792,0.03979473458720227,9
random_forest,Flow IAT Std,0.07129894325208058,0.07129894325208058,6,-0.09925441785742883,0.05337995507748805,0.0,20
random_forest,Fwd Packet Length Max,0.07054977604674553,0.07054977604674553,7,0.05575817147468511,0.008806857572422605,0.06095896283810214,7
random_forest,Init_Win_bytes_forward,0.049696734269137025,0.049696734269137025,8,0.11518488755560954,0.009935251864333776,0.12592865035398884,3
random_forest,Fwd IAT Min,0.0472012648170319,0.0472012648170319,9,0.067048707449781,0.006415491146913216,0.07330261301035723,6
random_forest,min_seg_size_forward,0.03766132536804433,0.03766132536804433,10,0.11662581804029896,0.02017227745775359,0.12750398228373747,2
random_forest,Fwd Header Length,0.0336584913106968,0.0336584913106968,11,0.04188302151197902,0.013405313067888662,0.04578962122269954,8
random_forest,Bwd Packets/s,0.033173485466697246,0.033173485466697246,12,-0.004516474776189172,0.007372754544084531,0.0,19
random_forest,Flow Bytes/s,0.03251743481760105,0.03251743481760105,13,0.005069223215488394,0.0029315335354115468,0.005542050276008388,11
random_forest,Active Mean,0.02827490034035469,0.02827490034035469,14,-1.0037958955422254e-05,8.978007497611082e-06,0.0,18
random_forest,act_data_pkt_fwd,0.02649445871943587,0.02649445871943587,15,0.003982620371551171,0.002208201159264822,0.004354095566743608,12
random_forest,Active Max,0.017884984655209497,0.017884984655209497,16,1.8020103311178202e-05,5.647479998615126e-05,1.9700911615862433e-05,16
random_forest,PSH Flag Count,0.007218941429844432,0.007218941429844432,17,0.0018589338425086144,0.0005724462738716686,0.0020323241603326446,13
random_forest,Idle Std,0.006530793190985505,0.006530793190985505,18,0.0,0.0,0.0,17
random_forest,Active Std,0.004992996724596648,0.004992996724596648,19,0.0009730537865253908,0.0003093117723099833,0.0010638144695832828,15
random_forest,FIN Flag Count,0.003845395626865272,0.003845395626865272,20,0.0013741546235501057,0.00011189746291093706,0.0015023276125334989,14
lightgbm,Init_Win_bytes_backward,2740.0,0.1222232134891605,1,0.09007821613504965,0.03160366923666405,0.08879884587425241,4
lightgbm,Fwd IAT Min,2489.0,0.11102685342135783,2,0.042848021787169774,0.024113670128451076,0.04223945639632865,10
lightgbm,Init_Win_bytes_forward,2378.0,0.10607547506468017,3,0.07117140640168947,0.015293161372923665,0.0701605673256478,5
lightgbm,Bwd Packets/s,2147.0,0.09577125524132393,4,0.05854016756458238,0.015499341335953307,0.057708728481331344,6
lightgbm,Destination Port,2039.0,0.09095369792131323,5,0.29737259989562215,0.013763471438268693,0.29314905199462876,1
lightgbm,Flow IAT Std,1787.0,0.07971273084128826,6,0.05779710417144483,0.006035530689249431,0.05697621872977172,7
lightgbm,Flow Bytes/s,1415.0,0.06311892229458471,7,-0.08857916950114313,0.024514021487336793,0.0,20
lightgbm,Bwd Packet Length Max,1297.0,0.05785529485235079,8,0.15086643560608928,0.00720216636066352,0.1487236974464266,2
lightgbm,Fwd Header Length,1225.0,0.05464358997234365,9,-0.002326823591076366,0.029800944093037088,0.0,19
lightgbm,Total Length of Fwd Packets,1196.0,0.05334998661789633,10,0.019690047044998726,0.002590842139493312,0.019410391633247426,12
lightgbm,Fwd Packet Length Max,1123.0,0.05009367472566687,11,0.0947716551224869,0.01549965489394135,0.09342562450229276,3
lightgbm,Bwd Header Length,860.0,0.03836203051119636,12,0.008034407735705674,0.0016900381116129195,0.007920295991921024,13
lightgbm,min_seg_size_forward,467.0,0.02083147470782407,13,0.04734077000614143,0.02304819294343592,0.04666839464317581,8
lightgbm,act_data_pkt_fwd,387.0,0.01726291373003836,14,0.0,0.0,0.0,15
lightgbm,Active Mean,256.0,0.011419395128914265,15,0.02302946489400166,0.0038009856587163603,0.022702380125101628,11
lightgbm,PSH Flag Count,216.0,0.009635114640021411,16,0.04705973430856818,0.0023083024976758688,0.046391350462410115,9
lightgbm,Active Std,118.0,0.0052636274422339195,17,0.0,0.0,0.0,16
lightgbm,FIN Flag Count,111.0,0.004951378356677669,18,0.005807479336309318,0.00040046334933304306,0.005724996393464076,14
