Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,False Positive Rate,Training Time,Prediction Time,Memory Usage
lightgbm,0.9977124642944221,0.7931456807890896,0.9536739325817892,0.8196352125931196,0.9999113451684017,0.00016202607173475066,42.64186709999922,2.911162599997624,6.92578125
random_forest,0.9913751578379815,0.8068978061990865,0.9311655836260876,0.8042239623537418,0.9998666955518863,0.000599178461392678,31.056121599998733,0.7241905000009865,6.44921875
xgboost,0.9943683804683303,0.7151624453793789,0.9352139881977256,0.7566325908006857,0.9998843530387652,0.0003917118512040633,74.98615299999801,0.9118587000011757,124.94140625
decision_tree,0.9737448783185622,0.7226543111009948,0.9347655550468094,0.745229849079056,0.9868635525925896,0.0017896938454317183,30.374285999998392,0.08792040000116685,0.2578125
extra_trees,0.909997165358701,0.5826979551663833,0.894327853965717,0.5614355610464694,0.9976890017865861,0.007207734449524738,17.683371700000862,0.859084100000473,1.65625
catboost,0.9411207339144018,0.49114240430754474,0.9337306788916145,0.5384723337675741,0.9993102734562994,0.004009240671208849,129.55037309999898,0.24284500000067055,1621.296875
logistic_regression,0.6160369335920852,0.25133585607449727,0.819671039784603,0.27948149927741156,0.9754038820083385,0.026029839626668286,91.08826170000248,0.08272479999868665,103.09765625
